Name,Image,tipo
3D glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassThreed0.png,ACCESSORIES
3D glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassThreed1.png,ACCESSORIES
bandage,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthBandageSkin.png,ACCESSORIES
beak,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthBeakYellow.png,ACCESSORIES
birthday shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassBirthday2.png,ACCESSORIES
birthday shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassBirthday1.png,ACCESSORIES
birthday shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassBirthday0.png,ACCESSORIES
birthday shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassBirthday3.png,ACCESSORIES
bottom-rimmed glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassLoose6.png,ACCESSORIES
bottom-rimmed glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassLoose0.png,ACCESSORIES
bottom-rimmed glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassLoose5.png,ACCESSORIES
bottom-rimmed glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassLoose4.png,ACCESSORIES
bottom-rimmed glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassLoose2.png,ACCESSORIES
bottom-rimmed glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassLoose3.png,ACCESSORIES
bottom-rimmed glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassLoose1.png,ACCESSORIES
browline glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassThurmont3.png,ACCESSORIES
browline glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassThurmont0.png,ACCESSORIES
browline glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassThurmont2.png,ACCESSORIES
browline glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassThurmont1.png,ACCESSORIES
